EN,HR
en,hr
January,Siječanj
February,Veljača
March,Ožujak
April,Travanj
May,Svibanj
June,Lipanj
July,Srpanj
August,Kolovoz
September,Rujan
October,Listopad
November,Studeni
December,Prosinac
Monday,ponedjeljak
Tuseday,utorak
Wednesday,srijeda
Thursday,četvrtak
Friday,petak
Saturday,subota
Sunday,nedjelja
winter,zima
summer,ljeto
autumn/fall,jesen
spring,proljeće
