Hiragana,Romaji
hiragana,romaji
きゃ,kya [kʲa]
きゅ,kyu [kʲɯ]
きょ,kyo [kʲo]
しゃ,sha [ɕa]
しゅ,shu [ɕɯ]
しょ,sho [ɕo]
ちゃ,cha [t͡ɕa]
ちゅ,chu [t͡ɕɯ]
ちょ,cho [t͡ɕo]
にゃ,nya [ɲa]
にゅ,nyu [ɲɯ]
にょ,nyo [ɲo]
ひゃ,hya [ça]
ひゅ,hyu [çɯ]
ひょ,hyo [ço]
みゃ,mya [mʲa]
みゅ,myu [mʲɯ]
みょ,myo [mʲo]
りゃ,rya [ɾʲa]
りゅ,ryu [ɾʲɯ]
りょ,ryo [ɾʲo]
じゃ,ja [(d)ʑa]
じゅ,ju [(d)ʑɯ]
じょ,jo [(d)ʑo]
ぢゃ,ja [(d)ʑa]
ぢゅ,ju [(d)ʑɯ]
ぢょ,jo [(d)ʑo]
びゃ,bya [bʲa]
びゅ,byu [bʲɯ]
びょ,byo [bʲo]
ぴゃ,pya [pʲa]
ぴゅ,pyu [pʲɯ]
ぴょ,pyo [pʲo]
